date,acquisition_key,burst_count,platforms,absolute_orbit,missing_bursts,burst_scene_names_json
2022-09-19,27|SENTINEL-1A|2022-09-19,4,SENTINEL-1A,45074,,"{""027_056011_IW2"": ""S1_056011_IW2_20220919T125541_VV_62CE-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20220919T125544_VV_62CE-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20220919T125547_VV_EA41-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20220919T125550_VV_EA41-BURST""}"
2022-10-01,27|SENTINEL-1A|2022-10-01,4,SENTINEL-1A,45249,,"{""027_056011_IW2"": ""S1_056011_IW2_20221001T125542_VV_FF71-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20221001T125545_VV_FF71-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20221001T125548_VV_EC3F-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20221001T125550_VV_EC3F-BURST""}"
2022-10-13,27|SENTINEL-1A|2022-10-13,4,SENTINEL-1A,45424,,"{""027_056011_IW2"": ""S1_056011_IW2_20221013T125542_VV_E197-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20221013T125545_VV_E197-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20221013T125547_VV_7E77-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20221013T125550_VV_7E77-BURST""}"
2022-10-25,27|SENTINEL-1A|2022-10-25,4,SENTINEL-1A,45599,,"{""027_056011_IW2"": ""S1_056011_IW2_20221025T125542_VV_0DE5-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20221025T125545_VV_0DE5-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20221025T125548_VV_D74C-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20221025T125550_VV_D74C-BURST""}"
2022-11-06,27|SENTINEL-1A|2022-11-06,4,SENTINEL-1A,45774,,"{""027_056011_IW2"": ""S1_056011_IW2_20221106T125542_VV_9598-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20221106T125544_VV_9598-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20221106T125547_VV_AAC3-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20221106T125550_VV_AAC3-BURST""}"
2022-11-18,27|SENTINEL-1A|2022-11-18,4,SENTINEL-1A,45949,,"{""027_056011_IW2"": ""S1_056011_IW2_20221118T125542_VV_F1C1-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20221118T125544_VV_F1C1-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20221118T125547_VV_0F37-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20221118T125550_VV_0F37-BURST""}"
2022-11-30,27|SENTINEL-1A|2022-11-30,4,SENTINEL-1A,46124,,"{""027_056011_IW2"": ""S1_056011_IW2_20221130T125541_VV_55A5-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20221130T125544_VV_55A5-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20221130T125546_VV_DA89-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20221130T125549_VV_DA89-BURST""}"
2022-12-12,27|SENTINEL-1A|2022-12-12,4,SENTINEL-1A,46299,,"{""027_056011_IW2"": ""S1_056011_IW2_20221212T125541_VV_6083-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20221212T125543_VV_6083-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20221212T125546_VV_FA61-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20221212T125549_VV_FA61-BURST""}"
2022-12-24,27|SENTINEL-1A|2022-12-24,4,SENTINEL-1A,46474,,"{""027_056011_IW2"": ""S1_056011_IW2_20221224T125540_VV_964B-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20221224T125543_VV_964B-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20221224T125545_VV_8FE8-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20221224T125548_VV_8FE8-BURST""}"
2023-01-05,27|SENTINEL-1A|2023-01-05,4,SENTINEL-1A,46649,,"{""027_056011_IW2"": ""S1_056011_IW2_20230105T125539_VV_F306-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230105T125542_VV_F306-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230105T125545_VV_8C23-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230105T125547_VV_8C23-BURST""}"
