Reference, Reference URL, Secondary, Secondary URL, Pair Perpendicular Baseline (meters), Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20220203T125509_20220203T125539_041749_04F7D1_04F6,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220203T125509_20220203T125539_041749_04F7D1_04F6.zip,S1A_IW_SLC__1SDV_20220227T125509_20220227T125539_042099_0503FF_D031,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220227T125509_20220227T125539_042099_0503FF_D031.zip,99,24
S1A_IW_SLC__1SDV_20220203T125509_20220203T125539_041749_04F7D1_04F6,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220203T125509_20220203T125539_041749_04F7D1_04F6.zip,S1A_IW_SLC__1SDV_20220311T125509_20220311T125539_042274_0509EE_236F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220311T125509_20220311T125539_042274_0509EE_236F.zip,123,36
S1A_IW_SLC__1SDV_20220215T125509_20220215T125539_041924_04FDF9_3B5F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220215T125509_20220215T125539_041924_04FDF9_3B5F.zip,S1A_IW_SLC__1SDV_20220227T125509_20220227T125539_042099_0503FF_D031,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220227T125509_20220227T125539_042099_0503FF_D031.zip,18,12
S1A_IW_SLC__1SDV_20220215T125509_20220215T125539_041924_04FDF9_3B5F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220215T125509_20220215T125539_041924_04FDF9_3B5F.zip,S1A_IW_SLC__1SDV_20220311T125509_20220311T125539_042274_0509EE_236F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220311T125509_20220311T125539_042274_0509EE_236F.zip,42,24
S1A_IW_SLC__1SDV_20220215T125509_20220215T125539_041924_04FDF9_3B5F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220215T125509_20220215T125539_041924_04FDF9_3B5F.zip,S1A_IW_SLC__1SDV_20220323T125509_20220323T125539_042449_050FE4_4807,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220323T125509_20220323T125539_042449_050FE4_4807.zip,120,36
S1A_IW_SLC__1SDV_20220227T125509_20220227T125539_042099_0503FF_D031,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220227T125509_20220227T125539_042099_0503FF_D031.zip,S1A_IW_SLC__1SDV_20220311T125509_20220311T125539_042274_0509EE_236F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220311T125509_20220311T125539_042274_0509EE_236F.zip,24,12
S1A_IW_SLC__1SDV_20220227T125509_20220227T125539_042099_0503FF_D031,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220227T125509_20220227T125539_042099_0503FF_D031.zip,S1A_IW_SLC__1SDV_20220323T125509_20220323T125539_042449_050FE4_4807,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220323T125509_20220323T125539_042449_050FE4_4807.zip,102,24
S1A_IW_SLC__1SDV_20220227T125509_20220227T125539_042099_0503FF_D031,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220227T125509_20220227T125539_042099_0503FF_D031.zip,S1A_IW_SLC__1SDV_20220404T125510_20220404T125539_042624_0515D9_FA07,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220404T125510_20220404T125539_042624_0515D9_FA07.zip,45,36
S1A_IW_SLC__1SDV_20220311T125509_20220311T125539_042274_0509EE_236F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220311T125509_20220311T125539_042274_0509EE_236F.zip,S1A_IW_SLC__1SDV_20220323T125509_20220323T125539_042449_050FE4_4807,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220323T125509_20220323T125539_042449_050FE4_4807.zip,78,12
S1A_IW_SLC__1SDV_20220311T125509_20220311T125539_042274_0509EE_236F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220311T125509_20220311T125539_042274_0509EE_236F.zip,S1A_IW_SLC__1SDV_20220404T125510_20220404T125539_042624_0515D9_FA07,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220404T125510_20220404T125539_042624_0515D9_FA07.zip,21,24
