row0,col0,center_row,center_col,median_coherence,median_velocity_mm_per_yr,median_velocity_std_mm_per_yr,min_edge_distance_m,min_support
400,800,425,825,0.471331849694252,-40.52191227674484,5.193689838051796,280.0,1.0
400,850,425,875,0.3903142064809799,-38.69916312396526,5.636671325191855,960.8329719571451,1.0
400,900,425,925,0.40333291888237,-42.362941429018974,5.495043005794287,1160.0,1.0
400,950,425,975,0.34907451272010803,-53.54864522814751,5.582917248830199,360.0,1.0
400,1000,425,1025,0.3686310052871704,-53.3315259963274,5.380691261962056,987.9271228182774,1.0
400,1150,425,1175,0.39942285418510437,-40.12501798570156,4.2777955532073975,0.0,1.0
400,1200,425,1225,0.2847807705402374,-42.28956438601017,4.473389824852347,920.0,1.0
400,1250,425,1275,0.30006250739097595,-46.080028638243675,4.009153926745057,600.0,1.0
400,1300,425,1325,0.32689425349235535,-42.075617238879204,3.833225811831653,760.0,1.0
400,1350,425,1375,0.3208003044128418,-34.361815080046654,3.5324246855452657,920.0,1.0
400,1400,425,1425,0.2410489320755005,-40.83973914384842,3.2543244305998087,1507.846145997661,1.0
400,1450,425,1475,0.26408103108406067,-31.21780324727297,3.0264442320913076,840.0,1.0
400,1500,425,1525,0.2391693815588951,-22.85752259194851,2.648731810040772,600.0,1.0
400,1550,425,1575,0.24905935674905777,-23.891335353255272,2.361985854804516,699.714227381436,1.0
400,1600,425,1625,0.27659133076667786,-24.37691017985344,2.254692022688687,920.0,1.0
400,1650,425,1675,0.2651784420013428,-43.711062520742416,1.9468211685307324,1219.1800523302536,1.0
400,1700,425,1725,0.3124163895845413,-31.492510810494423,1.980918343178928,1882.9763673503712,1.0
400,1750,425,1775,0.2830723226070404,-29.230021871626377,1.7910320311784744,400.0,1.0
400,1800,425,1825,0.29192784428596497,-27.077138423919678,1.6818243893794715,447.21359549995793,1.0
400,1900,425,1925,0.333884596824646,-24.253237061202526,1.2444945168681443,601.3318551349163,1.0
400,1950,425,1975,0.36843341588974,-27.467500418424606,1.1414025211706758,1320.0,1.0
400,2000,425,2025,0.365291565656662,-16.82783104479313,0.8882711117621511,1484.8568954616467,1.0
400,2050,425,2075,0.4537952095270157,-4.066848894581199,0.8197607821784914,680.0,1.0
400,2100,425,2125,0.7406927645206451,-3.609430626966059,0.5128976481501013,0.0,1.0
400,2150,425,2175,0.8655177056789398,-1.290690212044865,0.3028456121683121,243.31050121192877,1.0
400,2200,425,2225,0.5028646886348724,-7.864146027714014,0.6765774742234498,963.3275663033837,1.0
400,2300,425,2325,0.3168730288743973,7.081811083480716,1.5120570897124708,280.0,1.0
400,2350,425,2375,0.29730165004730225,1.6387622454203665,1.8505973275750875,0.0,1.0
450,750,475,775,0.466963455080986,-40.32663814723492,5.40658226236701,0.0,1.0
450,950,475,975,0.37842337787151337,-48.358190804719925,5.492535186931491,0.0,1.0
450,1400,475,1425,0.24518589675426483,-21.185943856835365,4.1521035600453615,320.0,1.0
450,1550,475,1575,0.24215618520975113,-27.6322141289711,3.0784328700974584,0.0,1.0
450,1650,475,1675,0.29883483052253723,-35.92000529170036,2.958248252980411,760.0,1.0
450,1700,475,1725,0.3489936888217926,-26.298710145056248,2.468706341460347,1760.0,1.0
