reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_max_abs_m
2024-04-17,2024-05-11,24,28.0
2024-04-17,2024-05-23,36,157.0
2024-04-29,2024-05-11,12,58.0
2024-04-29,2024-05-23,24,187.0
2024-04-29,2024-06-04,36,187.0
2024-05-11,2024-05-23,12,130.0
2024-05-11,2024-06-04,24,129.0
2024-05-11,2024-06-16,36,51.0
2024-05-23,2024-06-04,12,5.0
2024-05-23,2024-06-16,24,80.0
2024-06-04,2024-06-16,12,78.0
2024-06-04,2024-07-10,36,29.0
2024-06-16,2024-07-10,24,103.0
2024-06-16,2024-07-22,36,110.0
2024-07-10,2024-07-22,12,7.0
2024-07-10,2024-08-03,24,127.0
2024-07-10,2024-08-15,36,110.0
2024-07-22,2024-08-03,12,130.0
2024-07-22,2024-08-15,24,117.0
2024-08-03,2024-08-15,12,18.0
2024-08-03,2024-08-27,24,133.0
2024-08-03,2024-09-08,36,113.0
2024-08-15,2024-08-27,12,146.0
2024-08-15,2024-09-08,24,126.0
2024-08-15,2024-09-20,36,69.0
2024-08-27,2024-09-08,12,21.0
2024-08-27,2024-09-20,24,82.0
2024-08-27,2024-10-02,36,150.0
2024-09-08,2024-09-20,12,64.0
2024-09-08,2024-10-02,24,132.0
2024-09-08,2024-10-14,36,5.0
2024-09-20,2024-10-02,12,69.0
2024-09-20,2024-10-14,24,59.0
2024-09-20,2024-10-26,36,49.0
2024-10-02,2024-10-14,12,127.0
2024-10-02,2024-10-26,24,23.0
2024-10-02,2024-11-07,36,88.0
2024-10-14,2024-10-26,12,104.0
2024-10-14,2024-11-07,24,40.0
2024-10-14,2024-11-19,36,41.0
2024-10-26,2024-11-07,12,68.0
2024-10-26,2024-11-19,24,64.0
2024-11-07,2024-11-19,12,7.0
2024-11-07,2024-12-13,36,36.0
2024-11-19,2024-12-13,24,33.0
2024-11-19,2024-12-25,36,142.0
2024-12-13,2024-12-25,12,113.0
2024-12-13,2025-01-06,24,17.0
2024-12-13,2025-01-18,36,76.0
2024-12-25,2025-01-06,12,97.0
2024-12-25,2025-01-18,24,38.0
2024-12-25,2025-01-30,36,64.0
2025-01-06,2025-01-18,12,60.0
2025-01-06,2025-01-30,24,33.0
2025-01-06,2025-02-11,36,18.0
2025-01-18,2025-01-30,12,27.0
2025-01-18,2025-02-11,24,77.0
2025-01-18,2025-02-23,36,79.0
2025-01-30,2025-02-11,12,51.0
2025-01-30,2025-02-23,24,53.0
2025-01-30,2025-03-07,36,123.0
2025-02-11,2025-02-23,12,2.0
2025-02-11,2025-03-07,24,73.0
2025-02-11,2025-03-19,36,74.0
2025-02-23,2025-03-07,12,73.0
2025-02-23,2025-03-19,24,74.0
2025-02-23,2025-03-31,36,113.0
2025-03-07,2025-03-19,12,2.0
2025-03-07,2025-03-31,24,40.0
2025-03-07,2025-04-12,36,186.0
2025-03-19,2025-03-31,12,39.0
2025-03-19,2025-04-12,24,187.0
2025-03-19,2025-04-24,36,101.0
2025-03-31,2025-04-12,12,224.0
2025-03-31,2025-04-24,24,137.0
2025-03-31,2025-05-06,36,170.0
2025-04-12,2025-04-24,12,87.0
2025-04-12,2025-05-06,24,55.0
2025-04-24,2025-05-06,12,33.0
2025-04-24,2025-05-30,36,127.0
2025-05-06,2025-05-30,24,95.0
2025-05-06,2025-06-11,36,132.0
2025-05-30,2025-06-11,12,41.0
2025-05-30,2025-06-23,24,6.0
2025-05-30,2025-07-05,36,1.0
2025-06-11,2025-06-23,12,35.0
2025-06-11,2025-07-05,24,41.0
2025-06-11,2025-07-17,36,86.0
2025-06-23,2025-07-05,12,6.0
2025-06-23,2025-07-17,24,51.0
2025-06-23,2025-07-29,36,59.0
2025-07-05,2025-07-17,12,48.0
2025-07-05,2025-07-29,24,53.0
2025-07-05,2025-08-10,36,72.0
2025-07-17,2025-07-29,12,10.0
2025-07-17,2025-08-10,24,29.0
2025-07-17,2025-08-22,36,61.0
2025-07-29,2025-08-10,12,19.0
2025-07-29,2025-08-22,24,51.0
2025-07-29,2025-09-03,36,107.0
2025-08-10,2025-08-22,12,32.0
2025-08-10,2025-09-03,24,88.0
2025-08-10,2025-09-15,36,187.0
2025-08-22,2025-09-03,12,56.0
2025-08-22,2025-09-15,24,156.0
2025-08-22,2025-09-27,36,64.0
2025-09-03,2025-09-15,12,102.0
2025-09-03,2025-09-27,24,10.0
2025-09-15,2025-09-27,12,92.0
