station_key,state,site_name,latitude,longitude,well_type,n_seasons,dist_km_H001,dist_km_H004,dist_km_H002,dist_km_H003,min_dist_km_to_any,within_2km,within_5km,within_10km,within_20km
Central     Civil Lines    Burari                Burari DJB|28.73305|77.19722,Delhi,Central     Civil Lines    Burari                Burari DJB ,28.73305,77.19722,unspecified,1,26.132821898810178,26.17088113776447,15.127691231648335,13.760212906833024,13.760212906833024,False,False,False,True
Central     Civil Lines    Burari              Burari Augur|28.76888|77.2075,Delhi,Central     Civil Lines    Burari              Burari Augur ,28.76888,77.2075,Bore Well,1,30.16888264179691,30.107757740060396,14.037161646134981,12.908382206902624,12.908382206902624,False,False,False,True
Central     Civil Lines    Burari              Burari DJB Ex|28.73305|77.19722,Delhi,Central     Civil Lines    Burari              Burari DJB Ex,28.73305,77.19722,unspecified,1,26.132821898810178,26.17088113776447,15.127691231648335,13.760212906833024,13.760212906833024,False,False,False,True
Central     Civil Lines    Isbt Kasmiri Gate     ISBT (Kasmi|28.67222|77.23055,Delhi,Central     Civil Lines    Isbt Kasmiri Gate     ISBT (Kasmi,28.67222,77.23055,Dug Well,1,22.233261871432067,23.043256774636237,22.07273071387246,20.616715612081126,20.616715612081126,False,False,False,False
Central     Civil Lines    Isbt Kasmiri Gate     Khela Ghat|28.66444|77.23444,Delhi,Central     Civil Lines    Isbt Kasmiri Gate     Khela Ghat ,28.66444,77.23444,Dug Well,1,21.84583204956713,22.76328754479297,22.961651509207694,21.49968663281913,21.49968663281913,False,False,False,False
Central     Civil Lines    Isbt Kasmiri Gate   ISBT (Kasmiri|28.67222|77.23055,Delhi,Central     Civil Lines    Isbt Kasmiri Gate   ISBT (Kasmiri,28.67222,77.23055,Dug Well,1,22.233261871432067,23.043256774636237,22.07273071387246,20.616715612081126,20.616715612081126,False,False,False,False
Central     Civil Lines    Isbt Kasmiri Gate   Khela Ghat Bh|28.66444|77.23444,Delhi,Central     Civil Lines    Isbt Kasmiri Gate   Khela Ghat Bh,28.66444,77.23444,Dug Well,1,21.84583204956713,22.76328754479297,22.961651509207694,21.49968663281913,21.49968663281913,False,False,False,False
Central     Civil Lines    Jagatpur              Jagatpur Pz|28.74|77.2225,Delhi,Central     Civil Lines    Jagatpur              Jagatpur Pz,28.74,77.2225,Bore Well,1,27.96137473084803,28.18174040374735,16.757214812633308,15.483930446779938,15.483930446779938,False,False,False,True
Central     Civil Lines    Jagatpur            Jagatpur Pz 2|28.74|77.2225,Delhi,Central     Civil Lines    Jagatpur            Jagatpur Pz 2,28.74,77.2225,Bore Well,1,27.96137473084803,28.18174040374735,16.757214812633308,15.483930446779938,15.483930446779938,False,False,False,True
Central     Civil Lines    Majnu Ka Tila         Majnu Ka Ti|28.69583|77.22777,Delhi,Central     Civil Lines    Majnu Ka Tila         Majnu Ka Ti,28.69583,77.22777,Dug Well,1,24.11431865352782,24.692515868320505,20.058472264575894,18.642260838467248,18.642260838467248,False,False,False,True
Central     Civil Lines    Majnu Ka Tila       Majnu Ka Tila|28.69583|77.22777,Delhi,Central     Civil Lines    Majnu Ka Tila       Majnu Ka Tila,28.69583,77.22777,Dug Well,1,24.11431865352782,24.692515868320505,20.058472264575894,18.642260838467248,18.642260838467248,False,False,False,True
