producer,station_id,station_name,agency,district,latitude,longitude,record_start,record_end,observation_count,observations_in_study_period,median_sampling_hours,min_interval_hours,max_routine_interval_hours,largest_gap_hours,study_period_coverage_pct,observed_expected_ratio,months_represented,dist_H001_km,dist_H004_km,dist_H002_km,dist_H003_km,min_dist_km
delhi_sw_gw,delhi_sw_gw:Daulatpur Site,Daulatpur Site,Delhi SW GW,SOUTH WEST,28.543026,76.968245,2022-11-05 11:11:00,2024-08-01 00:00:00,1580,1580,6.0,0.017,6.0,5639.15,62.25,0.6225,16,11.308,8.582,31.959,30.961,8.582
delhi_sw_gw,delhi_sw_gw:Dwarka Site STP,Dwarka Site STP,Delhi SW GW,SOUTH WEST,28.65661,77.007148,2022-11-04 17:31:00,2025-01-20 06:00:00,2463,2463,6.0,0.017,6.0,2234.617,76.25,0.7625,25,16.707,14.498,18.784,17.83,14.498
delhi_sw_gw,delhi_sw_gw:Dwarka WTP,Dwarka WTP,Delhi SW GW,SOUTH WEST,28.607861,77.004922,2022-11-04 17:19:00,2025-02-02 00:00:00,2510,2510,6.0,0.017,6.0,2232.483,76.5,0.765,24,12.186,9.646,24.006,22.964,9.646
delhi_sw_gw,delhi_sw_gw:Garhi Randala,Garhi Randala,Delhi SW GW,NORTH WEST,28.725533,76.964817,2023-03-06 16:13:00,2025-07-14 12:00:00,2933,2933,6.0,0.017,12.0,1878.0,85.18,0.8518,28,25.407,23.132,14.547,14.249,14.249
delhi_sw_gw,delhi_sw_gw:Ghalibpur_1,Ghalibpur_1,Delhi SW GW,SOUTH WEST,28.529587,76.879106,2023-05-02 00:00:00,2024-05-30 12:00:00,1571,1571,6.0,0.017,6.0,30.0,99.56,0.9956,13,19.776,17.227,36.99,36.254,17.227
delhi_sw_gw,delhi_sw_gw:Ghummanhera,Ghummanhera,Delhi SW GW,SOUTH WEST,28.533259,76.928695,2022-12-23 13:35:00,2023-07-07 18:00:00,64,64,6.0,0.017,1663.294,4367.3,8.16,0.0816,3,14.969,12.378,34.386,33.503,12.378
delhi_sw_gw,delhi_sw_gw:Hamidpur_1,Hamidpur_1,Delhi SW GW,NORTH WEST,28.828072,77.152017,2023-03-08 10:36:00,2025-07-14 12:00:00,2723,2723,6.0,0.017,12.0,1902.0,79.24,0.7924,26,34.813,34.105,7.782,7.447,7.447
delhi_sw_gw,delhi_sw_gw:Hiranki_2,Hiranki_2,Delhi SW GW,NORTH,28.801228,77.181269,2023-03-08 16:14:00,2025-06-15 18:00:00,2180,2180,6.0,0.017,30.0,2563.083,65.66,0.6566,24,32.63,32.224,10.615,9.773,9.773
delhi_sw_gw,delhi_sw_gw:Hiranki jal Board,Hiranki jal Board,Delhi SW GW,NORTH,28.799674,77.185994,2023-03-08 13:01:00,2025-09-21 18:00:00,1244,1244,6.0,0.017,53.902,12288.033,33.51,0.3351,14,32.606,32.244,11.096,10.239,10.239
delhi_sw_gw,delhi_sw_gw:Holambi Kalan-1,Holambi Kalan-1,Delhi SW GW,NORTH,28.796924,77.093506,2023-03-08 12:56:00,2025-07-08 18:00:00,2357,2357,6.0,0.017,6.0,5046.0,69.06,0.6906,23,30.682,29.549,2.816,1.41,1.41
