producer,station,lat,lon,n_obs,first,last,exact_zero_fraction,constant_fraction,coverage_fraction,longest_gap_days,n_days,qc_class
delhi_sw_gw,Sonia Vihar BPS,28.71497,77.243025,1174,2023-12-07 18:00:00,2025-06-11 12:00:00,0.2317,0.2504,0.5562,231.25,307,FAIL_INSUFFICIENT_RECORD
delhi_sw_gw,Sonia Vihar WTP,28.712973,77.236647,2498,2023-03-06 16:04:00,2025-07-13 12:00:00,1.0,0.9996,0.7442,135.25,640,FAIL_DEAD_SENSOR
delhi_sw_gw,Tagore Garden_1,28.65757,77120175.0,1868,2023-12-07 18:00:00,2025-07-14 12:00:00,0.1478,0.2521,0.841,78.25,492,PASS_WITH_GAPS
delhi_sw_gw,Tajpur Kalan,28.840925,77.169846,1729,2023-03-06 14:22:00,2024-06-03 00:00:00,1.0,0.9994,0.9604,17.97,437,FAIL_DEAD_SENSOR
delhi_sw_gw,Tajpur Khurd,28.577042,77.013587,2928,2023-03-08 12:54:00,2025-07-14 18:00:00,1.0,0.9997,0.8523,80.25,733,FAIL_DEAD_SENSOR
delhi_sw_gw,Tikri Kalan_1,28.68067,76.966534,1490,2023-04-03 06:00:00,2024-04-16 18:00:00,1.0,0.9993,0.9895,2.25,376,FAIL_DEAD_SENSOR
delhi_sw_gw,Uttam Nagar-2,28.611554,77.073147,1552,2023-03-06 16:40:00,2024-06-05 00:00:00,1.0,0.9994,0.86,64.95,393,FAIL_DEAD_SENSOR
delhi_sw_gw,Vikas Puri,28.632295,77.072763,1990,2023-10-25 12:00:00,2025-07-13 06:00:00,1.0,0.9995,0.8581,79.25,538,FAIL_DEAD_SENSOR
delhi_sw_gw,Yamuna Bank V-8 Rainywell,28.627219,77.269839,274,2023-03-08 12:38:00,2023-07-11 06:00:00,1.0,0.9964,0.552,58.19,69,FAIL_DEAD_SENSOR
cgwb_delhi,Bakoli Deep Pz,28.8153,77.1517,2670,2023-09-07 00:00:00,2025-12-08 00:00:00,0.0,0.0472,0.8107,20.5,668,PASS
cgwb_delhi,Bakolishallow,28.8153,77.1517,2566,2023-08-21 18:00:00,2025-12-09 00:00:00,0.0,0.0592,0.7634,93.48,642,PASS_WITH_GAPS
cgwb_delhi,Bawana DJB JE Store,28.7869,77.03,2216,2023-09-01 00:00:00,2025-06-18 06:00:00,0.0,0.0117,0.8995,33.0,591,PASS_WITH_GAPS
cgwb_delhi,Bawana DJB WTP_1,28.8233,77.0536,2254,2023-09-01 00:00:00,2025-08-02 06:00:00,0.0,0.0195,0.886,38.0,622,PASS_WITH_GAPS
