producer,station,n,min_value,max_value,n_negative,n_exact_zero,frac_constant_on_runs,duplicate_timestamps,abrupt_jump_gt_10m
delhi_sw_gw,Okhla Jal Board,2048,0.0,0.0,0,2048,1.0,0,0
delhi_sw_gw,Palam_1,2022,0.0,0.0,0,2022,1.0,0,0
delhi_sw_gw,Punjab Khor,1971,0.0,0.0,0,1971,1.0,0,0
delhi_sw_gw,Qutab Garh_1,221,0.0,0.0,0,221,1.0,0,0
delhi_sw_gw,Roshanara Lake,2003,0.0,0.0,0,2003,1.0,0,0
delhi_sw_gw,Salahpur Majra,874,0.0,0.0,0,874,1.0,0,0
delhi_sw_gw,Samaspur khalsa,2537,0.0,0.0,0,2537,1.0,0,0
delhi_sw_gw,Sannoth Lake,1616,0.0,13.302,0,276,0.171,0,4
delhi_sw_gw,Sarangpur_1,388,0.0,0.0,0,388,1.0,0,0
delhi_sw_gw,Sawda_1,321,0.0,0.0,0,321,1.0,0,0
delhi_sw_gw,Singhola_2,1899,0.0,26.194,0,271,0.154,0,3
delhi_sw_gw,Sonia Vihar BPS,1174,0.0,6.92,0,272,0.251,0,0
delhi_sw_gw,Sonia Vihar WTP,2498,0.0,0.0,0,2498,1.0,0,0
delhi_sw_gw,Tagore Garden_1,1868,0.0,19.58,0,276,0.252,0,3
delhi_sw_gw,Tajpur Kalan,1729,0.0,0.0,0,1729,1.0,0,0
delhi_sw_gw,Tajpur Khurd,2928,0.0,0.0,0,2928,1.0,0,0
delhi_sw_gw,Tikri Kalan_1,1490,0.0,0.0,0,1490,1.0,0,0
delhi_sw_gw,Uttam Nagar-2,1552,0.0,0.0,0,1552,1.0,0,0
delhi_sw_gw,Vikas Puri,1990,0.0,0.0,0,1990,1.0,0,0
delhi_sw_gw,Yamuna Bank V-8 Rainywell,274,0.0,0.0,0,274,1.0,0,0
cgwb_delhi,Bakoli Deep Pz,2670,3.55,26.35,0,0,0.047,0,2
cgwb_delhi,Bakolishallow,2566,9.1,26.091,0,0,0.059,0,1
cgwb_delhi,Bawana DJB JE Store,2216,5.543,10.49,0,0,0.012,0,0
cgwb_delhi,Bawana DJB WTP_1,2254,9.596,26.241,0,0,0.02,0,104
cgwb_delhi,Burari OJB Ex. Eng Office,2550,0.021,73.076,0,0,0.046,0,3
cgwb_delhi,Coronation Pillar,2845,0.078,32.28,0,0,0.061,0,1
cgwb_delhi,Daryapur Khurd_1,2614,0.051,3.367,0,0,0.04,0,0
cgwb_delhi,Delhi Central CIVIL LINES Burari AugurPz,2066,-198.47,1.291,2058,1,0.081,0,2
cgwb_delhi,Delhi Central CIVIL LINES Jagatpur Pz 1,2626,-897.131,2.649,2563,0,0.011,0,8
cgwb_delhi,Delhi East MAYUR VIHAR Chilla Regulator,3181,-10.311,-8.39,3181,0,0.009,0,0
cgwb_delhi,Delhi_East_Mayur Vihar_Chilla Saroda Pz,3301,-8.296,-4.423,3301,0,0.011,0,0
cgwb_delhi,Delhi East Mayur vihar Kondli DJB WTP,3184,-29.418,-26.184,3184,0,0.003,0,0
cgwb_delhi,Delhi East PREET VIHAR Bank Enclave Pz,2956,-1232.761,59.601,2951,0,0.062,0,430
cgwb_delhi,Delhi East PREET VIHAR Gujarat Vihar Pz,3280,-7.127,-6.15,3280,0,0.011,0,0
cgwb_delhi,Delhi NAZUL LAND NAZUL LAND Shastri Park (Pz),2196,-7.257,-4.788,2196,0,0.014,0,0
cgwb_delhi,Delhi New Delhi CHANAKYAPURI India Gate Pz,3339,-9.147,-7.686,3339,0,0.018,0,0
cgwb_delhi,Delhi New Delhi CHANAKYAPURI Mahabir Vansth.,2275,-21.921,-17.233,2275,0,0.009,0,0
cgwb_delhi,Delhi New Delhi DELHI CANTONMENT Cvd Depot Cantt (D),3275,-98.063,-25.909,3275,0,0.028,0,38
cgwb_delhi,Delhi New Delhi VASANT VIHAR J N U Pz,3216,-16.397,-7.421,3216,0,0.013,0,0
cgwb_delhi,Delhi New Delhi VASANT VIHAR Sultanpur IMS Pz,3232,-69.418,-66.168,3232,0,0.01,0,0
cgwb_delhi,Delhi North ALIPUR Alipur Garhi Pz,3173,-485.224,-8.213,3173,0,0.003,0,3
cgwb_delhi,Delhi North ALIPUR Haiderpur Pz,3081,-826.786,-11.591,3081,0,0.0,0,2
cgwb_delhi,Delhi North ALIPUR Hiranki Village Pz,3247,-781.074,-6.01,3247,0,0.006,0,20
cgwb_delhi,Delhi North ALIPUR Palla Zero RD,2159,-11.179,1.022,2149,0,0.019,0,0
cgwb_delhi,Delhi North ALIPUR Rohini Sector 28,2785,-6.879,-4.824,2785,0,0.014,0,0
cgwb_delhi,Delhi North ALIPUR Singhu Village Pz,2846,-25.155,-19.94,2846,0,0.0,0,0
cgwb_delhi,Delhi North East SEELAM PUR Ushmanpur Pz,3225,-903.851,3.383,3177,0,0.036,0,20
cgwb_delhi,Delhi_North East_Yamuna Vihar_Gokulpuri E Pz,2290,-28.831,-25.325,2290,0,0.01,0,0
cgwb_delhi,Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2746,25.5,26.2,0,0,0.358,0,0
cgwb_delhi,Delhi North NARELA Auchandi Pz,2712,-287.817,-0.293,2712,0,0.023,0,2
cgwb_delhi,Delhi North NARELA Bankner Pz,3220,-21.885,-18.896,3220,0,0.003,0,0
cgwb_delhi,Delhi North NARELA Barwala Pz,2645,-6.009,-4.884,2645,0,0.017,0,0
cgwb_delhi,Delhi North West ROHINI Mangolpuri Pz,3218,-4.425,-0.739,3218,0,0.048,0,0
cgwb_delhi,Delhi North West ROHINI Rithala Pz Sec5 Rohini,3223,-5.871,-0.545,3223,0,0.003,0,0
cgwb_delhi,Delhi North West ROHINI Rohini Sec 11 Pz,2787,-6.434,-4.645,2787,0,0.013,0,0
cgwb_delhi,Delhi North West SARASWATI VIHAR Qutabgarh Pz,2768,-5.129,-1.42,2768,0,0.02,0,0
cgwb_delhi,Delhi North West SARASWATI VIHAR Sainik Vihar(Pz),2910,-3.412,0.344,2799,1,0.004,0,0
cgwb_delhi,Delhi_Shahdara_Shahdara_CBD Shahdara,3266,-17.648,-14.149,3266,0,0.007,0,0
cgwb_delhi,Delhi South East DEFENCE COLONY Nangli Rajapur Pz,3677,-999.999,0.939,3664,1,0.016,0,8
cgwb_delhi,Delhi South East KALKAJI Asola Pz,3233,-50.907,-42.584,3233,0,0.007,0,0
cgwb_delhi,Delhi_South East_Kalkaji_Okhla DJB WTP,2383,-8.753,-6.184,2383,0,0.004,0,0
cgwb_delhi,Delhi South HAUZ KHAS Hauz Khas Pz,2504,-23.476,-19.177,2504,0,0.008,0,0
cgwb_delhi,Delhi South HAUZ KHAS Pusp Vihar Pz,3133,-38.573,-34.54,3133,0,0.005,0,0
cgwb_delhi,Delhi South MEHRAULI Gadaipur Pz,2637,-68.717,-66.88,2637,0,0.008,0,0
cgwb_delhi,Delhi_South_Mehrauli_Jaunapur DJB TW,3225,-120.144,-30.918,3225,0,0.014,0,12
cgwb_delhi,Delhi South SAKET Bhatti Pz,2536,-125.696,-23.829,2536,0,0.013,0,12
cgwb_delhi,Delhi South West DWARKA Dwarka S-16 (TP),3771,-15.622,-13.113,3771,0,0.013,0,0
cgwb_delhi,"Delhi South West DWARKA Dwarka Sec-23,DDA Park Pz",3731,-21.012,-13.512,3731,0,0.016,0,0
cgwb_delhi,"Delhi South West DWARKA Dwarka Sec-5,DDA Park Pz",3576,-14.684,-9.988,3576,0,0.004,0,0
cgwb_delhi,Delhi South West KAPESHERA Chhawla Pz,3545,-10.285,-7.728,3545,0,0.003,0,0
cgwb_delhi,Delhi South West KAPESHERA Daulatpur Pz,3906,-10.794,-8.12,3906,0,0.022,0,0
cgwb_delhi,Delhi South West NAJAFGARH Mandela Kalan Pz,3749,-978.17,-5.222,3749,0,0.015,0,20
cgwb_delhi,Delhi South West NAJAFGARH Najafgarh Town,3932,-16.23,-11.944,3932,0,0.008,0,0
cgwb_delhi,Delhi West PATEL NAGAR Vikashpuri Pz,3381,-8.654,-6.439,3381,0,0.007,0,0
cgwb_delhi,Delhi West PUNJABI BAGH Peeragarhi Pz,3794,-4.846,-1.233,3794,0,0.009,0,0
cgwb_delhi,Delhi West RAJOURI GARDEN Mayapuri Pz,3956,-111.092,-35.439,3956,0,0.005,0,303
cgwb_delhi,Delhi_West_Rajouri Garden_Tagore Garden,2940,-53.86,-11.02,2940,0,0.011,0,8
cgwb_delhi,gazipur crossing pz,1844,3.68,50.042,0,0,0.029,0,9
cgwb_delhi,Jaitpur Khadar RD3500 Pz_1,1742,-0.539,11.23,2,0,0.037,0,0
cgwb_delhi,Janakpuri Pz_1,2697,2.466,23.619,0,0,0.051,0,2
