index,date12,reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_m,aoi_px,unwrap_valid_px,unwrap_valid_frac_aoi,coherence_valid_px,coherence_valid_frac_aoi,coherence_median,coherence_p25,coherence_mean,components_in_aoi,largest_component_frac_aoi,coherence_frac_gt_0.2,coherence_frac_gt_0.3,coherence_frac_gt_0.5
53,20220428_20220603,20220428,20220603,36,29.2,1226497,1203944,0.981612,1226497,1.0,0.4665,0.3064,0.5374,7,0.673305,0.995371,0.769425,0.472186
54,20220510_20220522,20220510,20220522,12,-19.5,1226497,1203925,0.981596,1226497,1.0,0.8724,0.709,0.7974,1,0.983923,0.999028,0.966436,0.888461
55,20220510_20220603,20220510,20220603,24,86.3,1226497,1203803,0.981497,1226497,1.0,0.4981,0.3163,0.5487,6,0.750028,0.995768,0.793946,0.498356
56,20220510_20220615,20220510,20220615,36,-92.6,1226497,1203793,0.981489,1226497,1.0,0.4509,0.3054,0.527,9,0.653718,0.995464,0.76717,0.456563
57,20220522_20220603,20220522,20220603,12,105.8,1226497,1203918,0.981591,1226497,1.0,0.5427,0.333,0.5691,3,0.815865,0.996294,0.823461,0.5396
58,20220522_20220615,20220522,20220615,24,-73.1,1226497,1203884,0.981563,1226497,1.0,0.4718,0.3107,0.5346,6,0.716462,0.995715,0.781195,0.474705
59,20220522_20220627,20220522,20220627,36,42.9,1226497,1203698,0.981411,1226497,1.0,0.4331,0.3011,0.5201,10,0.626657,0.995369,0.753727,0.442458
60,20220603_20220615,20220603,20220615,12,-178.9,1226497,1203816,0.981507,1226497,1.0,0.749,0.5182,0.6938,1,0.965656,0.997989,0.929227,0.765824
61,20220603_20220627,20220603,20220627,24,-63.0,1226497,1203947,0.981614,1226497,1.0,0.6092,0.3748,0.6004,1,0.89872,0.996793,0.864962,0.612771
62,20220603_20220709,20220603,20220709,36,-15.2,1226497,1203929,0.9816,1226497,1.0,0.4177,0.2978,0.5152,8,0.614805,0.995217,0.74243,0.43035
63,20220615_20220627,20220615,20220627,12,116.0,1226497,1203895,0.981572,1226497,1.0,0.7075,0.4707,0.6643,1,0.954208,0.997868,0.916344,0.722367
64,20220615_20220709,20220615,20220709,24,163.8,1226497,1203888,0.981566,1226497,1.0,0.3904,0.294,0.487,8,0.594443,0.994618,0.72714,0.38678
65,20220615_20220721,20220615,20220721,36,153.1,1226497,1203782,0.98148,1226497,1.0,0.3455,0.2823,0.441,7,0.456573,0.993566,0.666312,0.302194
66,20220627_20220709,20220627,20220709,12,47.8,1226497,1203666,0.981385,1226497,1.0,0.5371,0.3258,0.5701,7,0.748235,0.996371,0.812757,0.531559
