index,date12,residual_rms_rad,residual_frac_abs_gt_1rad
166,20230809_20230914,22.5333,1.0
167,20230821_20230902,5.0392,0.983706
168,20230821_20230914,10.0233,0.996513
169,20230821_20230926,4.3857,0.94753
170,20230902_20230914,8.1935,0.999174
171,20230902_20230926,4.5589,0.969103
172,20230902_20231008,4.0277,0.971213
173,20230914_20230926,6.0056,0.99812
174,20230914_20231008,4.3478,0.982
175,20230914_20231020,6.3892,0.995628
176,20230926_20231008,2.0716,0.904868
177,20230926_20231020,6.5648,0.99783
178,20230926_20231101,2.9096,0.923345
179,20231008_20231020,8.2426,0.999987
180,20231008_20231101,1.2906,0.350135
181,20231008_20231113,14.497,1.0
182,20231020_20231101,2.91,0.990216
183,20231020_20231113,6.5077,0.999679
184,20231101_20231113,3.694,0.996779
185,20231101_20231125,0.8767,0.138576
186,20231101_20231207,4.8088,0.988919
187,20231113_20231125,3.254,0.996912
188,20231113_20231207,7.3896,0.99957
189,20231113_20231219,2.4945,0.941526
190,20231125_20231207,10.6558,0.999558
191,20231125_20231219,1.3075,0.705027
192,20231125_20231231,2.5958,0.945672
193,20231207_20231219,9.4611,0.999863
194,20231207_20231231,8.1371,0.999672
195,20231207_20240112,5.1866,0.998244
196,20231219_20231231,1.4435,0.973092
197,20231219_20240112,4.4483,0.999386
198,20231219_20240124,5.0901,0.997001
199,20231231_20240112,3.1794,0.99881
200,20231231_20240124,3.7625,0.995376
201,20231231_20240205,1.4299,0.732132
202,20240112_20240124,0.7316,0.033629
203,20240112_20240205,1.9867,0.96292
204,20240112_20240217,4.9106,0.998426
205,20240124_20240205,2.5911,0.991913
206,20240124_20240217,5.5189,0.998443
207,20240124_20240229,6.0486,0.997518
208,20240205_20240217,2.9716,0.992815
209,20240205_20240229,3.5153,0.98913
210,20240205_20240312,4.6338,0.995592
211,20240217_20240229,0.6951,0.076052
212,20240217_20240312,4.7773,0.998073
213,20240217_20240324,3.3527,0.975599
214,20240229_20240312,5.2138,0.999556
215,20240229_20240324,2.8687,0.971905
216,20240229_20240405,4.7215,0.994701
217,20240312_20240324,1.7148,0.945116
218,20240312_20240405,0.9973,0.178259
219,20240312_20240417,7.0865,0.999379
220,20240324_20240405,1.2332,0.659875
221,20240324_20240417,5.4465,0.998276
222,20240324_20240429,0.932,0.14931
223,20240405_20240417,6.4837,0.99968
224,20240405_20240429,1.367,0.765111
225,20240405_20240511,2.8728,0.966492
226,20240417_20240429,5.3246,0.999281
227,20240417_20240511,2.9648,0.988466
228,20240417_20240523,8.0459,0.999919
229,20240429_20240511,2.4379,0.991051
230,20240429_20240523,13.2943,1.0
231,20240429_20240604,9.8446,0.999985
232,20240511_20240523,10.8794,1.0
233,20240511_20240604,7.4389,0.999576
234,20240511_20240616,15.8434,0.999328
235,20240523_20240604,3.5731,0.998202
236,20240523_20240616,5.0371,0.999176
237,20240604_20240616,8.364,0.999299
238,20240604_20240710,19.468,0.999292
239,20240616_20240710,28.0438,0.999475
240,20240616_20240722,2.6482,0.862304
241,20240710_20240722,6.694,0.995807
242,20240710_20240803,12.9991,0.99948
243,20240710_20240815,3.7282,0.94393
244,20240722_20240803,6.3313,0.997271
245,20240722_20240815,21.5134,0.999988
246,20240803_20240815,4.121,0.981439
247,20240803_20240827,5.4778,0.986552
248,20240803_20240908,9.1976,0.999154
249,20240815_20240827,3.1135,0.934004
250,20240815_20240908,6.9269,0.991637
251,20240815_20240920,2.8068,0.889944
252,20240827_20240908,3.813,0.955641
253,20240827_20240920,5.9941,0.990263
254,20240827_20241002,19.7087,0.999992
255,20240908_20240920,10.7406,0.999971
256,20240908_20241002,15.6123,0.999984
257,20240908_20241014,3.3225,0.933431
258,20240920_20241002,13.1933,0.999748
259,20240920_20241014,2.0622,0.822093
260,20240920_20241026,6.8227,0.995156
