hotspot_id,date,los_displacement_mm,los_interquartile_halfwidth_mm
H003,20211205,-14.381,1.708
H003,20211217,-14.568,1.743
H003,20211229,-19.052,2.037
H003,20220110,-19.536,1.849
H003,20220122,-21.341,2.083
H003,20220203,-20.965,1.788
H003,20220215,-18.298,1.82
H003,20220227,-5.529,2.175
H003,20220311,-38.085,2.044
H003,20220323,-13.943,4.123
H003,20220404,-30.669,1.86
H003,20220416,-35.294,1.629
H003,20220428,-20.435,2.503
H003,20220510,-14.479,1.846
H003,20220522,-27.048,1.879
H003,20220603,-17.726,2.049
H003,20220615,-5.205,2.938
H003,20220627,-35.773,4.076
H003,20220709,-13.603,3.229
H003,20220721,-20.719,4.8
H003,20220802,-14.071,4.474
H003,20220814,-18.853,4.563
H003,20220826,-12.16,4.294
H003,20220907,-23.885,4.481
H003,20220919,-33.905,4.16
H003,20221001,-46.37,4.553
H003,20221013,-38.407,4.423
H003,20221025,-23.953,4.599
H003,20221106,-35.105,4.512
H003,20221118,-29.949,4.481
H003,20221130,-34.78,4.489
H003,20221212,-26.599,4.427
H003,20221224,-24.659,4.535
H003,20230105,-29.181,4.498
H003,20230117,-24.099,4.624
H003,20230129,-31.468,4.676
H003,20230210,-37.765,4.508
H003,20230222,-43.005,5.063
H003,20230306,-42.707,4.593
H003,20230318,-41.501,5.618
H003,20230330,-67.443,6.462
H003,20230411,-36.838,5.41
H003,20230423,-43.769,5.214
H003,20230505,-40.611,5.78
H003,20230517,-84.744,5.47
H003,20230529,-41.037,5.5
H003,20230610,-47.989,5.588
H003,20230622,-56.24,5.896
H003,20230704,-19.181,6.169
H003,20230716,-4.213,5.302
H003,20230728,5.076,8.59
H003,20230809,-26.232,7.665
H003,20230821,-27.856,5.999
H003,20230902,-59.339,5.473
H003,20230914,-64.668,5.563
H003,20230926,-67.086,5.733
H003,20231008,-65.091,5.385
H003,20231020,-58.699,5.426
H003,20231101,-66.065,5.502
H003,20231113,-52.759,5.675
H003,20231125,-69.002,5.706
H003,20231207,-51.611,5.745
H003,20231219,-59.918,5.564
H003,20231231,-58.9,5.497
H003,20240112,-52.549,5.596
H003,20240124,-58.071,5.658
H003,20240205,-79.272,5.769
H003,20240217,-61.409,5.705
H003,20240229,-64.383,5.697
H003,20240312,-64.801,5.677
H003,20240324,-34.82,5.807
H003,20240405,-72.395,5.873
H003,20240417,-65.174,5.883
H003,20240429,-49.455,6.013
H003,20240511,-65.253,6.22
H003,20240523,-63.288,5.674
H003,20240604,-50.649,5.802
H003,20240616,-36.571,6.19
H003,20240710,-15.675,6.776
H003,20240722,-37.256,6.106
H003,20240803,-55.812,6.454
H003,20240815,-31.307,6.162
H003,20240827,-60.804,6.136
H003,20240908,-62.974,6.015
H003,20240920,-56.024,6.08
H003,20241002,-51.109,6.022
H003,20241014,-73.144,5.882
H003,20241026,-62.559,5.991
H003,20241107,-79.961,5.866
H003,20241119,-66.999,5.74
H003,20241213,-55.752,5.669
H003,20241225,-54.617,5.919
H003,20250106,-68.838,6.033
H003,20250118,-35.565,5.739
H003,20250130,-66.314,5.719
H003,20250211,-60.337,5.67
H003,20250223,-68.62,5.556
H003,20250307,-85.522,5.906
H003,20250319,-61.855,5.678
H003,20250331,-64.187,5.932
H003,20250412,-64.835,5.831
H003,20250424,-70.474,6.266
H003,20250506,-47.591,6.012
H003,20250530,-12.198,5.989
H003,20250611,-57.52,6.118
H003,20250623,-45.462,6.684
H003,20250705,-59.111,6.475
H003,20250717,-50.502,5.868
